Test Chi Quadro massimo_____________________________________________
   x       y       y*      sy      Chi     
91 1090.00 7.05    8.30    0.35    12.65   
Chi Quadro = 310.28
Gradi Libertà = 88
Chi Quadro Ridotto = 3.53

Test Chi Quadro minimo2sx_____________________________________________
   x       y       y*      sy      Chi     
1  311.00  7.01    7.99    0.35    7.81    
2  312.00  6.64    7.66    0.33    9.43    
3  313.00  6.85    7.34    0.34    2.04    
4  314.00  6.43    7.03    0.32    3.52    
5  315.00  6.38    6.73    0.32    1.17    
6  316.00  5.80    6.44    0.29    4.81    
7  317.00  5.87    6.15    0.29    0.92    
8  318.00  5.41    5.88    0.27    2.97    
9  319.00  5.47    5.61    0.27    0.25    
10 320.00  4.83    5.36    0.24    4.71    
11 321.00  5.08    5.11    0.25    0.01    
12 322.00  4.63    4.87    0.23    1.05    
13 323.00  4.97    4.64    0.25    1.78    
14 324.00  4.60    4.42    0.23    0.62    
15 325.00  4.84    4.21    0.24    6.76    
16 326.00  4.27    4.01    0.21    1.44    
17 327.00  4.49    3.82    0.22    8.96    
18 328.00  3.96    3.64    0.20    2.64    
19 329.00  4.01    3.46    0.20    7.52    
20 330.00  3.18    3.30    0.16    0.55    
21 331.00  3.67    3.14    0.18    8.15    
22 332.00  3.49    3.00    0.17    7.94    
23 333.00  3.59    2.86    0.18    16.79   
24 334.00  3.10    2.73    0.16    5.72    
25 335.00  3.27    2.61    0.16    16.37   
26 336.00  2.84    2.50    0.14    5.82    
27 337.00  2.80    2.40    0.14    8.00    
28 338.00  2.14    2.31    0.11    2.34    
29 339.00  2.29    2.23    0.11    0.29    
30 340.00  2.11    2.15    0.11    0.19    
31 341.00  2.46    2.09    0.12    8.92    
32 342.00  1.99    2.03    0.10    0.17    
33 343.00  2.28    1.99    0.11    6.61    
34 344.00  1.96    1.95    0.10    0.01    
35 345.00  2.08    1.92    0.10    2.14    
36 346.00  1.62    1.90    0.08    12.22   
37 347.00  1.97    1.90    0.10    0.59    
38 348.00  1.64    1.90    0.08    9.81    
39 349.00  1.84    1.90    0.09    0.44    
40 350.00  1.53    1.92    0.08    26.85   
41 351.00  1.78    1.95    0.09    3.40    
42 352.00  1.55    1.99    0.08    31.30   
43 353.00  1.90    2.03    0.10    1.84    
44 354.00  1.80    2.09    0.09    9.85    
45 355.00  2.20    2.15    0.11    0.23    
46 356.00  2.02    2.22    0.10    3.80    
47 357.00  2.51    2.30    0.13    2.73    
48 358.00  2.56    2.40    0.13    1.64    
49 359.00  2.97    2.50    0.15    10.04   
50 360.00  2.62    2.61    0.13    0.01    
51 361.00  3.13    2.72    0.16    6.64    
52 362.00  2.86    2.85    0.14    0.00    
53 363.00  3.36    2.99    0.17    4.96    
54 364.00  3.23    3.13    0.16    0.32    
55 365.00  3.62    3.29    0.18    3.27    
56 366.00  3.31    3.45    0.17    0.74    
57 367.00  4.03    3.63    0.20    4.06    
58 368.00  3.88    3.81    0.19    0.13    
59 369.00  4.31    4.00    0.22    2.06    
60 370.00  4.11    4.20    0.21    0.21    
61 371.00  5.05    4.41    0.25    6.36    
62 372.00  5.10    4.63    0.26    3.38    
63 373.00  5.62    4.86    0.28    7.25    
64 374.00  5.47    5.10    0.27    1.86    
65 375.00  5.93    5.34    0.30    3.90    
66 376.00  5.79    5.60    0.29    0.45    
67 377.00  6.40    5.86    0.32    2.82    
68 378.00  6.48    6.14    0.32    1.14    
