pixel,grigio
880,14.5970
881,14.5970
882,14.7707
883,15.0297
884,15.1495
885,15.1448
886,15.1557
887,15.2050
888,15.4085
889,15.4327
890,15.6886
891,15.8701
892,16.2848
893,16.5336
894,16.7754
895,16.4898
896,16.6432
897,17.0516
898,17.6549
899,17.6072
900,17.6714
901,17.5736
902,18.0282
903,18.3795
904,18.8717
905,18.7895
906,18.8028
907,18.9953
908,19.4131
909,19.4742
910,19.6721
911,19.6925
912,19.8811
913,19.7520
914,19.9953
915,20.2089
916,20.6377
917,20.5790
918,20.7308
919,20.8607
920,21.1362
921,21.2324
922,21.4343
923,21.2520
924,21.4257
925,21.1150
926,21.5211
927,21.4390
928,21.8365
929,21.7989
930,21.9288
931,21.8576
932,22.1252
933,21.9718
934,22.2034
935,22.0869
936,22.1471
937,22.1025
938,22.6111
939,22.3756
940,22.3764
941,22.3975
942,22.6588
943,22.5501
944,22.4828
945,22.3842
946,22.3709
947,22.2692
948,22.3951
949,21.9538
950,22.0556
951,21.7300
952,22.1682
953,21.8905
954,22.1839
955,21.7786
956,21.8701
957,21.4538
958,21.3396
959,21.3412
960,21.6002
961,21.1291
962,21.2520
963,21.1870
964,21.1682
965,20.8451
966,20.5876
967,20.3271
968,20.3122
969,19.9789
970,20.0704
971,20.0250
972,19.9656
973,19.4703
974,19.3412
975,19.0884
976,19.1792
977,19.0070
978,18.7778
979,18.3584
980,18.1502
981,17.7207
982,17.7246
983,17.5149
984,17.4718
985,17.1878
986,16.9437
987,16.5986
988,16.5430
989,16.1831
990,16.0634
991,15.6839
992,15.3232
993,14.7825
994,14.6800
995,14.0743
996,14.0782
997,13.8725
998,13.9139
999,13.5282
1000,13.2347
1001,12.9531
1002,12.8067
1003,12.1338
1004,11.7793
1005,11.6111
1006,11.7332
1007,11.5219
1008,11.0305
1009,10.5102
1010,10.0767
1011,9.8138
1012,9.6894
1013,9.4937
1014,9.2770
1015,8.8177
1016,8.3028
1017,8.2934
1018,8.0618
1019,7.9961
1020,7.3912
1021,7.1714
1022,6.5837
1023,6.4397
1024,6.1017
1025,5.9077
1026,5.5673
1027,5.5712
1028,5.1808
1029,5.1095
1030,4.7582
1031,4.7559
1032,4.2989
1033,4.7160
1034,4.0196
1035,4.0477
1036,3.5055
1037,3.5149
1038,3.1002
1039,3.3255
1040,2.8521
1041,3.2355
1042,3.0344
1043,3.1588
1044,2.5423
1045,2.7895
1046,2.4984
1047,2.6526
1048,1.9178
1049,2.5297
1050,2.1064
1051,2.5720
1052,2.1635
1053,2.5501
1054,2.2324
1055,2.6784
1056,2.4726
1057,2.5994
1058,2.0438
1059,3.0039
1060,3.1088
1061,3.5587
1062,3.1987
1063,3.6236
1064,3.2394
1065,3.4116
1066,3.1588
1067,3.6549
1068,3.6338
1069,4.1307
1070,3.8529
1071,4.4077
1072,4.2723
1073,4.9241
1074,4.7199
1075,5.3490
1076,5.2074
1077,5.2872
1078,4.9859
1079,5.4249
1080,5.1557
1081,6.0031
1082,6.0915
1083,6.2496
1084,5.7606
1085,6.0884
1086,6.3537
1087,6.7973
1088,6.9460
1089,7.1941
1090,7.0485
1091,7.2097
1092,7.4280
1093,7.7934
1094,7.9186
1095,7.8803
1096,7.7097
1097,8.0626
1098,8.0368
1099,8.0376
1100,7.8513
1101,8.1620
1102,8.0978
1103,8.6182
1104,8.7363
1105,8.7520
1106,8.6244
1107,8.6401
1108,8.6549
1109,8.8279
1110,9.0438
1111,9.3654
1112,9.6674
1113,9.8357
1114,9.8138
1115,9.8834
1116,9.7394
1117,10.0728
1118,10.0587
1119,10.2207
1120,10.2473
1121,10.3905
1122,10.1495
1123,10.1174
1124,10.1291
1125,10.3177
1126,10.2606
1127,10.0524
1128,10.0829
1129,10.2660
1130,10.1745
1131,10.4390
1132,10.2973
1133,10.1377
1134,9.8638
1135,9.6698
1136,9.7308
1137,9.7230
1138,9.5227
1139,9.6401
1140,9.8592
1141,9.7973
1142,9.5556
1143,9.5790
1144,9.4358
1145,9.5313
1146,9.4194
1147,9.4984
1148,9.4155
1149,9.4546
1150,9.2739
1151,9.0790
1152,8.7684
1153,8.5172
1154,8.0196
1155,8.3200
1156,8.5313
1157,8.3818
1158,8.2426
1159,8.0970
1160,7.7590
1161,7.7629
1162,7.8271
1163,7.7692
1164,7.7089
1165,7.6980
1166,7.5728
1167,7.3513
1168,6.8944
1169,6.8772
1170,6.5282
1171,6.6628
1172,6.3459
1173,6.3638
1174,5.8333
1175,5.8286
1176,5.5994
1177,6.1127
1178,5.7144
1179,5.7340
1180,5.1408
1181,5.3592
1182,5.3537
1183,5.0908
1184,4.1440
1185,4.2848
1186,3.8599
1187,4.3059
1188,3.8991
1189,3.9562
1190,3.3529
1191,3.7433
1192,3.4171
1193,3.4914
1194,2.8818
1195,3.1236
1196,2.8944
1197,3.2183
1198,2.7003
1199,2.9851
1200,2.7324
1201,2.7911
1202,2.2379
1203,2.1166
1204,1.7668
1205,2.2285
1206,2.0657
1207,2.1424
1208,1.8005
1209,1.9757
1210,1.7183
1211,1.6009
1212,1.0336
1213,1.1635
1214,1.0117
1215,1.4202
1216,1.4304
1217,1.4969
1218,0.9609
1219,1.0469
1220,0.8310
1221,1.1017
1222,0.9671
1223,1.2105
1224,0.9797
1225,1.2629
1226,1.2942
1227,1.5673
1228,1.2590
1229,1.4984
1230,1.4405
1231,1.4609
1232,1.1972
1233,1.5164
1234,1.4131
1235,1.4100
1236,1.3584
1237,1.5845
1238,1.2895
1239,1.3490
1240,1.2496
1241,1.4781
1242,1.3638
1243,1.8920
1244,1.5743
1245,1.7707
1246,1.4836
1247,1.8865
1248,1.9632
1249,2.1502
1250,1.7778
1251,2.1909
1252,2.0978
1253,2.6260
1254,2.6690
1255,2.9405
1256,2.6228
1257,3.0438
1258,2.6909
1259,2.8552
1260,2.8294
1261,3.2551
1262,3.1854
1263,3.4617
1264,3.3349
1265,3.7105
1266,3.3153
