Test residui Andamento del Voltaggio_____________________________________________
   x       y       y*      res     s_res   
4450.00    -0.56   -0.68   0.12    1.83    
4460.00    -0.60   -0.70   0.10    1.82    
4470.00    -0.60   -0.72   0.12    1.82    
4480.00    -0.64   -0.74   0.10    1.81    
4490.00    -0.64   -0.76   0.12    1.81    
4500.00    -0.68   -0.77   0.09    1.80    
4510.00    -0.68   -0.79   0.11    1.80    
4520.00    -0.72   -0.81   0.09    1.78    
4530.00    -0.72   -0.83   0.11    1.78    
4540.00    -0.76   -0.84   0.08    1.77    
4550.00    -0.76   -0.86   0.10    1.77    
4560.00    -0.76   -0.88   0.12    1.77    
4570.00    -0.80   -0.89   0.09    1.76    
4580.00    -0.80   -0.91   0.11    1.76    
4590.00    -0.84   -0.92   0.08    1.75    
4600.00    -0.84   -0.94   0.10    1.75    
4610.00    -0.84   -0.95   0.11    1.75    
4620.00    -0.88   -0.96   0.08    1.74    
4630.00    -0.88   -0.98   0.10    1.74    
4640.00    -0.88   -0.99   0.11    1.74    
4650.00    -0.92   -1.00   0.08    1.72    
4660.00    -0.92   -1.01   0.09    1.72    
4670.00    -0.92   -1.03   0.11    1.72    
4680.00    -0.96   -1.04   0.08    1.71    
4690.00    -0.96   -1.05   0.09    1.71    
4700.00    -0.96   -1.06   0.10    1.71    
4710.00    -1.00   -1.07   0.07    1.70    
4720.00    -1.00   -1.08   0.08    1.70    
4730.00    -1.00   -1.08   0.08    1.70    
4740.00    -1.00   -1.09   0.09    1.70    
4750.00    -1.00   -1.10   0.10    1.70    
4760.00    -1.04   -1.11   0.07    1.69    
4770.00    -1.04   -1.12   0.08    1.69    
4780.00    -1.04   -1.12   0.08    1.69    
4790.00    -1.04   -1.13   0.09    1.69    
4800.00    -1.04   -1.13   0.09    1.69    
4810.00    -1.08   -1.14   0.06    1.68    
4820.00    -1.08   -1.14   0.06    1.68    
4830.00    -1.08   -1.15   0.07    1.68    
4840.00    -1.08   -1.15   0.07    1.68    
4850.00    -1.08   -1.15   0.07    1.68    
4860.00    -1.08   -1.16   0.08    1.68    
4870.00    -1.08   -1.16   0.08    1.68    
4880.00    -1.08   -1.16   0.08    1.68    
4890.00    -1.08   -1.16   0.08    1.68    
4900.00    -1.12   -1.17   0.05    1.66    
4910.00    -1.12   -1.17   0.05    1.66    
4920.00    -1.12   -1.17   0.05    1.66    
4930.00    -1.12   -1.17   0.05    1.66    
4940.00    -1.12   -1.17   0.05    1.66    
4950.00    -1.12   -1.16   0.04    1.66    
4960.00    -1.12   -1.16   0.04    1.66    
4970.00    -1.12   -1.16   0.04    1.66    
4980.00    -1.12   -1.16   0.04    1.66    
4990.00    -1.12   -1.16   0.04    1.66    
5000.00    -1.12   -1.15   0.03    1.66    
5010.00    -1.12   -1.15   0.03    1.66    
5020.00    -1.08   -1.15   0.07    1.68    
5030.00    -1.08   -1.14   0.06    1.68    
5040.00    -1.08   -1.14   0.06    1.68    
5050.00    -1.08   -1.13   0.05    1.68    
5060.00    -1.08   -1.13   0.05    1.68    
5070.00    -1.08   -1.12   0.04    1.68    
5080.00    -1.08   -1.12   0.04    1.68    
5090.00    -1.08   -1.11   0.03    1.68    
5100.00    -1.08   -1.10   0.02    1.68    
5110.00    -1.08   -1.10   0.02    1.68    
5120.00    -1.04   -1.09   0.05    1.69    
5130.00    -1.04   -1.08   0.04    1.69    
5140.00    -1.04   -1.07   0.03    1.69    
5150.00    -1.04   -1.06   0.02    1.69    
5160.00    -1.04   -1.05   0.01    1.69    
5170.00    -1.04   -1.04   0.00    1.69    
5180.00    -1.00   -1.04   0.04    1.70    
5190.00    -1.00   -1.03   0.03    1.70    
5200.00    -1.00   -1.01   0.01    1.70    
5210.00    -1.00   -1.00   0.00    1.70    
5220.00    -1.00   -0.99   -0.01   1.70    
5230.00    -0.96   -0.98   0.02    1.71    
5240.00    -0.96   -0.97   0.01    1.71    
5250.00    -0.96   -0.96   -0.00   1.71    
5260.00    -0.92   -0.95   0.03    1.72    
5270.00    -0.92   -0.93   0.01    1.72    
5280.00    -0.92   -0.92   0.00    1.72    
5290.00    -0.92   -0.91   -0.01   1.72    
5300.00    -0.88   -0.90   0.02    1.74    
5310.00    -0.88   -0.88   0.00    1.74    
5320.00    -0.88   -0.87   -0.01   1.74    
5330.00    -0.88   -0.86   -0.02   1.74    
5340.00    -0.84   -0.84   0.00    1.75    
5350.00    -0.84   -0.83   -0.01   1.75    
5360.00    -0.84   -0.81   -0.03   1.75    
5370.00    -0.80   -0.80   -0.00   1.76    
5380.00    -0.80   -0.78   -0.02   1.76    
5390.00    -0.80   -0.77   -0.03   1.76    
5400.00    -0.76   -0.75   -0.01   1.77    
5410.00    -0.76   -0.74   -0.02   1.77    
5420.00    -0.72   -0.72   0.00    1.78    
5430.00    -0.72   -0.70   -0.02   1.78    
5440.00    -0.72   -0.69   -0.03   1.78    
5450.00    -0.68   -0.67   -0.01   1.80    
5460.00    -0.68   -0.66   -0.02   1.80    
5470.00    -0.68   -0.64   -0.04   1.80    
5480.00    -0.64   -0.62   -0.02   1.81    
5490.00    -0.64   -0.61   -0.03   1.81    
5500.00    -0.64   -0.59   -0.05   1.81    
5510.00    -0.60   -0.57   -0.03   1.82    
5520.00    -0.60   -0.55   -0.05   1.82    
5530.00    -0.56   -0.54   -0.02   1.83    
5540.00    -0.56   -0.52   -0.04   1.83    
5550.00    -0.56   -0.50   -0.06   1.83    
5560.00    -0.52   -0.48   -0.04   1.84    
5570.00    -0.52   -0.47   -0.05   1.84    
5580.00    -0.48   -0.45   -0.03   1.86    
5590.00    -0.48   -0.43   -0.05   1.86    
5600.00    -0.44   -0.41   -0.03   1.87    
5610.00    -0.44   -0.40   -0.04   1.87    
5620.00    -0.44   -0.38   -0.06   1.87    
5630.00    -0.40   -0.36   -0.04   1.88    
5640.00    -0.40   -0.34   -0.06   1.88    
5650.00    -0.36   -0.32   -0.04   1.89    
5660.00    -0.36   -0.31   -0.05   1.89    
5670.00    -0.32   -0.29   -0.03   1.90    
5680.00    -0.32   -0.27   -0.05   1.90    
5690.00    -0.32   -0.25   -0.07   1.90    
5700.00    -0.28   -0.23   -0.05   1.92    
5710.00    -0.28   -0.22   -0.06   1.92    
5720.00    -0.24   -0.20   -0.04   1.93    
5730.00    -0.24   -0.18   -0.06   1.93    
5740.00    -0.24   -0.16   -0.08   1.93    
5750.00    -0.20   -0.14   -0.06   1.94    
5760.00    -0.20   -0.13   -0.07   1.94    
5770.00    -0.16   -0.11   -0.05   1.95    
5780.00    -0.16   -0.09   -0.07   1.95    
5790.00    -0.12   -0.07   -0.05   1.96    
5800.00    -0.12   -0.06   -0.06   1.96    
5810.00    -0.12   -0.04   -0.08   1.96    
5820.00    -0.08   -0.02   -0.06   1.98    
