Test Chi Quadro Andamento del Voltaggio_____________________________________________
   x       y       y*      sy      Chi     
3920.00    0.76    0.71    2.23    0.00    
3930.00    0.76    0.68    2.23    0.00    
3940.00    0.72    0.66    2.22    0.00    
3950.00    0.68    0.63    2.20    0.00    
3960.00    0.68    0.60    2.20    0.00    
3970.00    0.64    0.57    2.19    0.00    
3980.00    0.60    0.54    2.18    0.00    
3990.00    0.60    0.51    2.18    0.00    
4000.00    0.56    0.48    2.17    0.00    
4010.00    0.52    0.46    2.16    0.00    
4020.00    0.52    0.43    2.16    0.00    
4030.00    0.48    0.40    2.14    0.00    
4040.00    0.44    0.37    2.13    0.00    
4050.00    0.44    0.34    2.13    0.00    
4060.00    0.40    0.31    2.12    0.00    
4070.00    0.36    0.28    2.11    0.00    
4080.00    0.32    0.25    2.10    0.00    
4090.00    0.32    0.23    2.10    0.00    
4100.00    0.28    0.20    2.08    0.00    
4110.00    0.24    0.17    2.07    0.00    
4120.00    0.24    0.14    2.07    0.00    
4130.00    0.20    0.11    2.06    0.00    
4140.00    0.16    0.08    2.05    0.00    
4150.00    0.16    0.06    2.05    0.00    
4160.00    0.12    0.03    2.04    0.00    
4170.00    0.08    0.00    2.02    0.00    
4180.00    0.08    -0.03   2.02    0.00    
4190.00    0.04    -0.05   2.01    0.00    
4200.00    0.00    -0.08   2.00    0.00    
4210.00    0.00    -0.11   2.00    0.00    
4220.00    -0.04   -0.13   1.99    0.00    
4230.00    -0.08   -0.16   1.98    0.00    
4240.00    -0.08   -0.19   1.98    0.00    
4250.00    -0.12   -0.21   1.96    0.00    
4260.00    -0.16   -0.24   1.95    0.00    
4270.00    -0.16   -0.26   1.95    0.00    
4280.00    -0.20   -0.29   1.94    0.00    
4290.00    -0.20   -0.32   1.94    0.00    
4300.00    -0.24   -0.34   1.93    0.00    
4310.00    -0.28   -0.37   1.92    0.00    
4320.00    -0.28   -0.39   1.92    0.00    
4330.00    -0.32   -0.41   1.90    0.00    
4340.00    -0.32   -0.44   1.90    0.00    
4350.00    -0.36   -0.46   1.89    0.00    
4360.00    -0.40   -0.48   1.88    0.00    
4370.00    -0.40   -0.51   1.88    0.00    
4380.00    -0.44   -0.53   1.87    0.00    
4390.00    -0.44   -0.55   1.87    0.00    
4400.00    -0.48   -0.57   1.86    0.00    
4410.00    -0.48   -0.60   1.86    0.00    
4420.00    -0.52   -0.62   1.84    0.00    
4430.00    -0.52   -0.64   1.84    0.00    
4440.00    -0.56   -0.66   1.83    0.00    
4450.00    -0.56   -0.68   1.83    0.00    
4460.00    -0.60   -0.70   1.82    0.00    
4470.00    -0.60   -0.72   1.82    0.00    
4480.00    -0.64   -0.74   1.81    0.00    
4490.00    -0.64   -0.76   1.81    0.00    
4500.00    -0.68   -0.77   1.80    0.00    
4510.00    -0.68   -0.79   1.80    0.00    
4520.00    -0.72   -0.81   1.78    0.00    
4530.00    -0.72   -0.83   1.78    0.00    
4540.00    -0.76   -0.84   1.77    0.00    
4550.00    -0.76   -0.86   1.77    0.00    
4560.00    -0.76   -0.88   1.77    0.00    
4570.00    -0.80   -0.89   1.76    0.00    
4580.00    -0.80   -0.91   1.76    0.00    
4590.00    -0.84   -0.92   1.75    0.00    
4600.00    -0.84   -0.94   1.75    0.00    
4610.00    -0.84   -0.95   1.75    0.00    
4620.00    -0.88   -0.96   1.74    0.00    
4630.00    -0.88   -0.98   1.74    0.00    
4640.00    -0.88   -0.99   1.74    0.00    
4650.00    -0.92   -1.00   1.72    0.00    
4660.00    -0.92   -1.01   1.72    0.00    
4670.00    -0.92   -1.03   1.72    0.00    
4680.00    -0.96   -1.04   1.71    0.00    
4690.00    -0.96   -1.05   1.71    0.00    
4700.00    -0.96   -1.06   1.71    0.00    
4710.00    -1.00   -1.07   1.70    0.00    
4720.00    -1.00   -1.08   1.70    0.00    
4730.00    -1.00   -1.08   1.70    0.00    
4740.00    -1.00   -1.09   1.70    0.00    
4750.00    -1.00   -1.10   1.70    0.00    
4760.00    -1.04   -1.11   1.69    0.00    
4770.00    -1.04   -1.12   1.69    0.00    
4780.00    -1.04   -1.12   1.69    0.00    
4790.00    -1.04   -1.13   1.69    0.00    
4800.00    -1.04   -1.13   1.69    0.00    
4810.00    -1.08   -1.14   1.68    0.00    
4820.00    -1.08   -1.14   1.68    0.00    
4830.00    -1.08   -1.15   1.68    0.00    
4840.00    -1.08   -1.15   1.68    0.00    
4850.00    -1.08   -1.15   1.68    0.00    
4860.00    -1.08   -1.16   1.68    0.00    
4870.00    -1.08   -1.16   1.68    0.00    
4880.00    -1.08   -1.16   1.68    0.00    
4890.00    -1.08   -1.16   1.68    0.00    
4900.00    -1.12   -1.17   1.66    0.00    
4910.00    -1.12   -1.17   1.66    0.00    
4920.00    -1.12   -1.17   1.66    0.00    
4930.00    -1.12   -1.17   1.66    0.00    
4940.00    -1.12   -1.17   1.66    0.00    
4950.00    -1.12   -1.16   1.66    0.00    
4960.00    -1.12   -1.16   1.66    0.00    
4970.00    -1.12   -1.16   1.66    0.00    
4980.00    -1.12   -1.16   1.66    0.00    
4990.00    -1.12   -1.16   1.66    0.00    
5000.00    -1.12   -1.15   1.66    0.00    
5010.00    -1.12   -1.15   1.66    0.00    
5020.00    -1.08   -1.15   1.68    0.00    
5030.00    -1.08   -1.14   1.68    0.00    
