Distance_(pixels),Gray_Value
5.8300E2,3.5731E1
5.8400E2,3.6492E1
5.8500E2,3.4787E1
5.8600E2,3.4250E1
5.8700E2,3.2464E1
5.8800E2,3.3333E1
5.8900E2,3.1743E1
5.9000E2,3.0149E1
5.9100E2,2.9406E1
5.9200E2,2.9580E1
5.9300E2,2.9205E1
5.9400E2,3.0132E1
5.9500E2,3.1269E1
5.9600E2,3.2876E1
5.9700E2,3.1756E1
5.9800E2,3.1868E1
5.9900E2,3.2472E1
6.0000E2,3.0720E1
6.0100E2,3.2872E1
6.0200E2,3.2877E1
6.0300E2,3.1573E1
6.0400E2,3.1022E1
6.0500E2,3.3688E1
6.0600E2,3.4041E1
6.0700E2,3.3096E1
6.0800E2,3.1370E1
6.0900E2,3.2932E1
6.1000E2,3.2651E1
6.1100E2,3.2289E1
6.1200E2,3.2945E1
6.1300E2,3.2282E1
6.1400E2,3.0047E1
6.1500E2,3.2323E1
6.1600E2,3.2638E1
6.1700E2,3.2308E1
6.1800E2,3.1045E1
6.1900E2,3.3314E1
6.2000E2,3.1661E1
6.2100E2,3.4274E1
6.2200E2,2.9683E1
6.2300E2,3.2658E1
6.2400E2,3.4323E1
6.2500E2,3.2333E1
6.2600E2,3.1331E1
6.2700E2,3.1667E1
6.2800E2,3.0022E1
6.2900E2,2.8987E1
6.3000E2,3.0661E1
6.3100E2,2.9051E1
6.3200E2,3.0674E1
6.3300E2,3.1359E1
6.3400E2,3.1295E1
6.3500E2,3.4904E1
6.3600E2,3.4023E1
6.3700E2,3.2590E1
6.3800E2,3.0986E1
6.3900E2,3.3000E1
6.4000E2,3.0397E1
6.4100E2,3.0684E1
6.4200E2,2.7794E1
6.4300E2,3.2019E1
6.4400E2,3.2475E1
6.4500E2,3.5291E1
6.4600E2,3.2134E1
6.4700E2,3.2643E1
6.4800E2,3.2828E1
6.4900E2,2.8179E1
6.5000E2,2.7493E1
6.5100E2,2.7778E1
6.5200E2,2.9144E1
6.5300E2,2.9333E1
6.5400E2,3.1117E1
6.5500E2,3.2712E1
6.5600E2,3.3802E1
6.5700E2,3.3966E1
6.5800E2,3.1631E1
6.5900E2,3.1333E1
6.6000E2,3.3888E1
6.6100E2,3.1551E1
6.6200E2,3.1158E1
6.6300E2,3.1203E1
6.6400E2,3.4333E1
6.6500E2,3.3547E1
6.6600E2,3.4798E1
6.6700E2,3.5090E1
6.6800E2,3.5966E1
6.6900E2,3.6052E1
6.7000E2,3.7045E1
6.7100E2,3.8667E1
6.7200E2,3.8484E1
6.7300E2,3.9615E1
6.7400E2,4.0281E1
6.7500E2,4.0253E1
6.7600E2,4.0762E1
6.7700E2,4.1944E1
6.7800E2,3.9339E1
6.7900E2,3.8967E1
6.8000E2,3.9411E1
6.8100E2,4.1657E1
6.8200E2,3.8971E1
6.8300E2,3.9605E1
6.8400E2,3.8063E1
6.8500E2,3.7795E1
6.8600E2,3.8130E1
6.8700E2,3.7931E1
6.8800E2,3.8266E1
6.8900E2,3.6068E1
6.9000E2,3.5139E1
6.9100E2,3.5441E1
6.9200E2,3.2214E1
6.9300E2,3.4043E1
6.9400E2,3.3519E1
6.9500E2,3.7483E1
6.9600E2,3.7258E1
6.9700E2,3.7333E1
6.9800E2,3.7766E1
6.9900E2,3.7939E1
7.0000E2,3.7760E1
7.0100E2,3.8919E1
7.0200E2,3.9754E1
7.0300E2,4.1001E1
7.0400E2,3.8996E1
7.0500E2,4.1573E1
7.0600E2,3.7617E1
7.0700E2,4.1175E1
7.0800E2,4.0646E1
7.0900E2,4.0373E1
7.1000E2,4.0365E1
7.1100E2,4.0841E1
7.1200E2,4.0460E1
7.1300E2,3.8155E1
7.1400E2,3.7287E1
7.1500E2,3.7853E1
7.1600E2,3.7709E1
7.1700E2,3.9607E1
7.1800E2,3.8972E1
7.1900E2,3.6799E1
7.2000E2,3.6624E1
7.2100E2,3.5693E1
7.2200E2,3.5793E1
7.2300E2,3.8229E1
7.2400E2,3.3455E1
7.2500E2,3.2893E1
7.2600E2,3.0774E1
7.2700E2,3.3993E1
7.2800E2,3.4553E1
7.2900E2,3.4109E1
7.3000E2,3.9221E1
7.3100E2,3.9673E1
7.3200E2,3.5123E1
7.3300E2,3.5691E1
7.3400E2,3.6465E1
7.3500E2,3.7117E1
7.3600E2,3.7355E1
7.3700E2,3.6975E1
7.3800E2,3.8064E1
7.3900E2,3.8153E1
7.4000E2,3.9981E1
7.4100E2,3.9581E1
7.4200E2,3.7333E1
7.4300E2,3.7497E1
7.4400E2,3.5794E1
7.4500E2,3.5128E1
7.4600E2,3.2688E1
